2025
162.5, 0, 0
3.5, 1, 436
11, 1, 652
3.5, 1, 766
10.5, 1, 1390
15.5, 1, 1414
9, 1, 1564
18, 1, 1602
136, 2, 2
16.5, 2, 666
16, 2, 1058
11.5, 3, 208
20.5, 3, 308
21, 3, 1406
20.5, 3, 1932
140.5, 4, 4
8.5, 4, 626
7, 4, 1130
7, 4, 1264
10.5, 4, 2004
17.5, 5, 126
12.5, 5, 256
23.5, 5, 400
13.5, 5, 548
11, 5, 616
1, 5, 1090
9, 5, 1152
10.5, 5, 1676
165, 6, 6
20, 7, 622
8.5, 7, 956
4, 7, 1162
6, 7, 1254
23, 7, 1820
203.5, 8, 8
2.5, 8, 1018
24.5, 8, 1752
16, 8, 1832
2.5, 8, 1852
20, 8, 1966
14, 8, 1992
17.5, 9, 422
1, 9, 904
8, 9, 1434
6.5, 9, 1606
8, 9, 1886
180.5, 10, 10
13, 10, 1082
3, 10, 1914
3, 11, 106
1.5, 11, 1062
12, 11, 1202
13.5, 11, 1452
17, 11, 1682
1.5, 11, 1744
243.5, 12, 12
11.5, 12, 304
22.5, 12, 396
6.5, 12, 804
1.5, 12, 1020
10.5, 12, 1810
15, 13, 126
3, 13, 1184
19.5, 13, 1512
125, 14, 14
24.5, 14, 396
5, 15, 108
24.5, 15, 1102
168, 16, 16
12.5, 16, 1518
15.5, 16, 1710
174.5, 18, 18
5.5, 18, 1026
13.5, 18, 1802
11.5, 19, 112
22.5, 19, 1276
25.5, 19, 1668
17.5, 19, 1924
129.5, 20, 20
4.5, 20, 1042
17, 21, 416
17.5, 21, 430
12.5, 21, 884
6.5, 21, 1360
25.5, 21, 1838
247.5, 22, 22
18.5, 22, 732
14.5, 23, 662
19.5, 23, 1118
15.5, 23, 1522
129, 24, 24
13.5, 24, 164
8, 25, 538
12, 25, 550
2, 25, 648
17.5, 25, 1356
17, 25, 1548
3, 25, 1902
13, 25, 1990
137.5, 26, 26
7.5, 26, 672
11, 26, 994
154.5, 28, 28
3.5, 28, 170
20.5, 28, 958
15, 29, 1080
263, 30, 30
12.5, 30, 392
17, 30, 714
17.5, 30, 838
14.5, 30, 950
21, 30, 968
10.5, 30, 1582
17.5, 30, 1900
22, 31, 570
3.5, 31, 684
5, 31, 956
2.5, 31, 1246
3, 31, 1544
2.5, 31, 1560
168.5, 32, 32
18.5, 32, 286
15.5, 32, 966
16, 32, 1902
23.5, 33, 1076
247.5, 34, 34
3, 34, 112
9, 34, 132
22, 34, 1902
22, 34, 1924
13, 35, 58
6, 35, 816
20, 35, 1174
14.5, 35, 1326
5.5, 35, 1472
11, 35, 1558
13.5, 35, 1890
188, 36, 36
1.5, 36, 66
23.5, 36, 576
6.5, 36, 732
10.5, 36, 1314
20, 37, 492
4.5, 37, 1024
24, 37, 1808
124.5, 38, 38
15.5, 38, 1108
11, 39, 770
2, 39, 1128
10, 39, 1792
128.5, 40, 40
5.5, 40, 968
3, 40, 1386
15.5, 41, 1356
242.5, 42, 42
5.5, 42, 136
8.5, 42, 620
18.5, 42, 1566
3, 42, 1694
25, 42, 1928
10.5, 43, 582
9, 43, 876
241, 44, 44
22, 44, 102
19.5, 44, 308
23, 44, 836
4.5, 44, 930
9, 44, 1232
6, 44, 1268
8, 45, 654
3.5, 45, 1470
9, 45, 1686
195, 46, 46
21.5, 46, 748
8.5, 46, 1448
24, 46, 1510
7.5, 47, 168
18, 47, 1160
13.5, 47, 1714
117, 48, 48
16.5, 48, 1888
16, 49, 670
16.5, 49, 784
10.5, 49, 960
198, 50, 50
17, 50, 802
8.5, 50, 1464
6.5, 50, 1832
14.5, 51, 486
16.5, 51, 1070
234, 52, 52
23, 52, 102
4.5, 52, 246
9, 52, 276
24, 52, 356
12.5, 52, 614
2.5, 52, 1368
7, 52, 1610
15.5, 52, 1936
1.5, 52, 1992
19.5, 53, 252
14, 53, 322
3.5, 53, 788
3, 53, 832
19, 53, 1414
13, 53, 1874
119, 54, 54
18.5, 54, 1522
11, 55, 90
25, 55, 646
205, 56, 56
4, 56, 472
17.5, 56, 722
16, 56, 1026
17.5, 56, 1862
25.5, 56, 1918
23.5, 57, 282
6.5, 57, 868
19, 57, 1612
8.5, 57, 1654
230, 58, 58
19, 58, 1016
5.5, 58, 1122
9, 58, 1222
14.5, 58, 1778
5.5, 58, 1854
17.5, 58, 1886
5.5, 59, 940
7, 59, 1004
11, 59, 1294
19, 59, 1422
4.5, 59, 1758
20.5, 59, 1972
163.5, 60, 60
10, 60, 1470
23.5, 60, 1632
20.5, 61, 916
22.5, 61, 946
23.5, 61, 1302
106, 62, 62
4.5, 62, 806
1, 62, 1312
1, 63, 2008
244, 64, 64
21.5, 64, 216
15.5, 64, 454
10, 64, 754
22, 64, 906
12, 64, 1346
13, 64, 1422
1.5, 64, 1470
20, 65, 530
14.5, 65, 556
4, 65, 1322
202.5, 66, 66
8, 66, 564
2, 66, 648
14, 66, 1456
16.5, 66, 1556
23, 66, 1724
21.5, 66, 2014
21.5, 67, 220
4, 67, 316
11.5, 67, 498
1.5, 67, 930
12, 67, 1372
17, 67, 1580
203.5, 68, 68
5, 68, 498
4.5, 68, 1140
2.5, 68, 1362
2.5, 68, 1796
12.5, 68, 1972
3.5, 69, 1344
226, 70, 70
8.5, 70, 140
19, 70, 212
7.5, 70, 258
12.5, 70, 512
16.5, 70, 536
20, 70, 1482
25, 70, 1960
228.5, 72, 72
18.5, 72, 1328
24, 72, 1366
13, 72, 1440
21.5, 72, 1750
187, 74, 74
7, 74, 780
23, 74, 1074
5, 74, 1900
5.5, 75, 1792
172.5, 76, 76
18.5, 76, 566
22.5, 76, 1458
3, 76, 1538
7, 76, 1644
3, 77, 960
6.5, 77, 1128
12, 77, 1408
21, 77, 1478
25.5, 77, 1596
10, 77, 1692
10, 77, 1850
14.5, 78, 28
200, 78, 78
9.5, 78, 140
1, 78, 568
18.5, 78, 752
9.5, 78, 884
8.5, 78, 1498
17.5, 78, 1686
2.5, 78, 1802
14.5, 79, 104
5, 79, 250
4, 79, 562
22.5, 79, 818
19.5, 79, 1544
161, 80, 80
24, 80, 1122
17.5, 80, 1460
15.5, 80, 1932
8, 81, 214
7, 81, 464
13.5, 81, 1040
1, 81, 1836
172.5, 82, 82
12, 82, 1624
20.5, 83, 354
24, 83, 1092
19.5, 83, 1336
12.5, 84, 4
199, 84, 84
13, 84, 486
19.5, 84, 1704
6, 84, 1848
2.5, 85, 510
150.5, 86, 86
23.5, 86, 760
21.5, 86, 1026
4.5, 87, 1288
17.5, 87, 1460
5, 87, 1504
20, 87, 1616
6, 87, 1896
256.5, 88, 88
8, 88, 738
5.5, 88, 1246
20, 88, 1498
24.5, 88, 1556
10, 88, 1606
24.5, 88, 1898
22, 88, 1988
13.5, 89, 536
20, 89, 668
11.5, 89, 1012
23, 89, 1396
6.5, 89, 1516
17.5, 89, 1852
256.5, 90, 90
11, 90, 996
19, 90, 1272
11, 90, 1670
5, 90, 1672
20, 90, 1824
7.5, 91, 778
1.5, 91, 804
10, 91, 1292
4, 92, 44
250, 92, 92
20.5, 92, 396
14.5, 92, 754
3.5, 92, 1156
10, 92, 1386
5, 92, 1532
17, 92, 1550
2, 92, 1828
16.5, 93, 846
2.5, 93, 970
4.5, 93, 1526
13, 93, 1598
22, 93, 1846
14.5, 93, 1904
18.5, 93, 1996
251, 94, 94
25.5, 94, 118
5.5, 94, 186
9.5, 94, 208
18, 94, 1432
13, 94, 1522
19.5, 95, 210
21.5, 95, 220
8.5, 95, 674
23, 95, 682
5, 95, 1116
2.5, 95, 1510
17.5, 95, 1696
16, 96, 30
166.5, 96, 96
24.5, 96, 724
1.5, 97, 718
9, 97, 1042
4, 97, 1530
136, 98, 98
16.5, 98, 854
19, 98, 1146
19.5, 99, 64
3, 99, 730
25, 99, 798
13.5, 99, 842
167, 100, 100
10.5, 100, 420
18, 100, 486
19.5, 100, 828
11, 101, 902
123.5, 102, 102
17, 103, 602
8, 103, 870
24.5, 103, 1184
5.5, 103, 1274
18.5, 103, 1538
154.5, 104, 104
8.5, 104, 1100
8.5, 105, 30
13, 105, 108
4, 105, 934
19.5, 105, 998
7.5, 105, 1110
16.5, 105, 1390
222, 106, 106
18.5, 106, 938
2.5, 106, 942
6, 106, 1416
3, 107, 292
6.5, 107, 322
4, 107, 454
25, 107, 750
16, 107, 1214
10, 107, 1400
7.5, 107, 1556
215.5, 108, 108
25, 108, 572
8.5, 108, 628
19.5, 108, 730
19.5, 108, 1494
17, 108, 1664
24, 109, 566
8, 109, 1074
280.5, 110, 110
23, 110, 228
13.5, 110, 316
7, 110, 732
3.5, 110, 1128
14.5, 110, 1272
16.5, 110, 1390
13.5, 110, 1524
23, 110, 1914
17.5, 111, 1602
262, 112, 112
15, 112, 304
22, 112, 568
4, 112, 1368
20.5, 112, 1486
19.5, 112, 1556
8, 113, 32
24, 113, 310
14.5, 113, 668
19.5, 113, 802
9.5, 113, 1562
186.5, 114, 114
24, 114, 654
3, 114, 1178
22.5, 115, 216
265.5, 116, 116
23.5, 116, 266
7.5, 116, 956
24.5, 116, 980
23.5, 116, 982
14, 116, 1454
22, 117, 270
21, 117, 908
25.5, 117, 1104
24.5, 117, 1142
174, 118, 118
20.5, 118, 214
3.5, 118, 1386
24, 119, 386
10, 119, 698
6.5, 119, 724
24, 120, 6
124.5, 120, 120
22, 121, 986
10, 121, 1078
16, 121, 1256
23.5, 121, 1502
11, 121, 1814
24.5, 121, 1920
10, 122, 24
184, 122, 122
20.5, 122, 1258
18.5, 122, 1402
16.5, 122, 1762
1.5, 123, 302
5, 123, 914
24.5, 123, 1128
7.5, 123, 1318
18, 123, 1428
11, 123, 2010
4, 123, 2018
25, 124, 38
259, 124, 124
22, 124, 146
17, 124, 774
24, 124, 842
19, 124, 1186
25, 124, 1476
9.5, 124, 1502
7.5, 125, 858
15.5, 125, 1046
6, 125, 1132
2.5, 125, 1308
5, 125, 1672
2.5, 125, 1836
185.5, 126, 126
6, 126, 368
13, 126, 948
7.5, 126, 998
9, 127, 1878
275, 128, 128
19, 128, 164
15.5, 128, 200
25.5, 128, 350
19, 128, 918
5.5, 128, 1248
25, 128, 1274
19, 128, 1604
16, 129, 298
13.5, 129, 584
18.5, 129, 832
3, 129, 1032
15, 129, 1078
6, 129, 1112
2, 129, 1368
128.5, 130, 130
6, 130, 1408
19, 131, 906
3, 131, 1494
194, 132, 132
6, 132, 472
22, 132, 1500
18.5, 133, 1790
181.5, 134, 134
21, 134, 1470
23, 135, 304
129, 136, 136
214.5, 138, 138
7.5, 138, 158
23.5, 138, 176
17, 138, 390
13, 138, 1000
15.5, 138, 1128
17.5, 138, 1330
1.5, 139, 972
1.5, 139, 984
9, 139, 1424
21.5, 139, 1732
16, 139, 1894
253, 140, 140
19, 140, 144
5.5, 140, 218
13.5, 140, 382
17, 140, 580
3, 140, 918
16, 140, 1010
6.5, 140, 1274
12.5, 140, 1920
17, 140, 1968
20, 141, 98
8, 141, 780
5, 141, 1178
13, 141, 1228
18, 141, 1894
286.5, 142, 142
16, 142, 566
22.5, 142, 1434
8.5, 143, 1056
22.5, 144, 46
182, 144, 144
20.5, 144, 1464
22, 145, 594
8, 145, 1522
15.5, 146, 108
233, 146, 146
23, 146, 374
15.5, 146, 1074
2, 146, 1078
15, 146, 1878
6.5, 146, 1966
7.5, 147, 258
199.5, 148, 148
3.5, 148, 488
7.5, 148, 536
21, 148, 1636
5, 148, 1978
274, 150, 150
24, 150, 298
14.5, 150, 478
2.5, 150, 1170
18.5, 150, 1298
22.5, 150, 1712
3, 151, 76
24.5, 151, 840
2, 151, 1088
5, 151, 1732
16.5, 151, 1798
132.5, 152, 152
13, 152, 1012
19, 152, 1980
158, 154, 154
11, 154, 256
2.5, 154, 980
22, 154, 1958
6, 155, 30
13, 155, 474
6.5, 155, 502
10, 155, 664
4, 155, 1070
3.5, 155, 1260
226.5, 156, 156
25, 156, 1048
19.5, 156, 1152
25.5, 156, 1424
9, 157, 184
21, 157, 564
8, 157, 1088
5.5, 157, 1150
4.5, 157, 1358
14.5, 157, 1368
20.5, 157, 1666
21.5, 157, 1936
217, 158, 158
9, 158, 1200
12, 158, 1352
19, 158, 1442
2.5, 158, 1516
19.5, 159, 362
9.5, 159, 554
25.5, 159, 794
8.5, 159, 1058
13.5, 159, 1548
3, 159, 1722
4.5, 159, 1976
135.5, 160, 160
25.5, 160, 1230
5.5, 161, 692
12, 161, 1414
22, 161, 1982
103, 162, 162
2.5, 162, 348
8.5, 163, 188
9, 163, 872
15.5, 163, 1744
217, 164, 164
15, 164, 1048
8.5, 164, 1182
15, 165, 30
19, 165, 540
20.5, 165, 1524
119, 166, 166
18.5, 166, 1480
20.5, 167, 188
11.5, 167, 1136
277.5, 168, 168
16.5, 168, 354
5, 168, 676
11, 168, 680
3.5, 168, 1164
24.5, 168, 1384
20.5, 168, 1664
18.5, 168, 2012
6, 169, 122
9, 169, 716
9, 169, 1284
3.5, 169, 1660
120, 170, 170
13.5, 170, 378
10.5, 171, 1068
144, 172, 172
9.5, 172, 1048
11, 172, 1162
20.5, 173, 654
4, 173, 882
23.5, 173, 1392
3, 173, 1944
159, 174, 174
20.5, 174, 1190
16, 175, 20
12.5, 175, 372
3, 175, 404
15.5, 175, 564
15, 175, 1164
20, 175, 1584
1, 175, 1606
20, 175, 1620
17.5, 176, 70
245, 176, 176
15.5, 176, 560
20.5, 176, 852
13, 176, 1190
24, 177, 1510
290.5, 178, 178
22.5, 178, 858
16.5, 178, 934
24.5, 178, 1136
22, 178, 1614
22.5, 178, 1726
16, 179, 772
19.5, 179, 920
17.5, 179, 940
19, 179, 1496
122, 180, 180
12, 181, 26
17, 181, 330
18, 181, 926
149, 182, 182
10, 182, 1570
15.5, 182, 1956
16.5, 183, 234
20, 183, 466
13, 183, 1242
14.5, 183, 1628
15.5, 183, 1782
18, 183, 2002
179.5, 184, 184
9.5, 184, 586
21.5, 184, 1206
22.5, 185, 1228
2, 185, 1244
24, 185, 1432
4.5, 185, 1582
2, 186, 126
240.5, 186, 186
12.5, 186, 650
6, 186, 736
22.5, 186, 1674
5.5, 186, 1870
17.5, 186, 1936
23.5, 187, 340
4.5, 187, 1442
14, 187, 1748
106.5, 188, 188
24, 189, 154
11.5, 189, 832
13, 189, 1844
172.5, 190, 190
3.5, 190, 404
18.5, 190, 1540
24, 191, 1138
11, 191, 1746
18.5, 191, 1854
117.5, 192, 192
8, 193, 1310
12.5, 193, 1578
23.5, 193, 1850
200.5, 194, 194
19.5, 194, 776
15.5, 194, 926
24.5, 194, 1248
4.5, 196, 110
121.5, 196, 196
24, 197, 1158
12, 198, 162
206, 198, 198
24.5, 198, 836
3.5, 198, 1052
24.5, 198, 1840
5, 199, 264
17, 199, 328
22.5, 199, 1116
20.5, 199, 1374
3.5, 199, 1876
269, 200, 200
25.5, 200, 312
6.5, 200, 360
11, 200, 1438
13.5, 200, 1440
10, 200, 1972
23.5, 201, 292
11, 201, 302
16, 201, 822
25, 201, 950
9, 201, 1288
17.5, 202, 36
205, 202, 202
10, 202, 412
25.5, 202, 698
15.5, 202, 1242
23, 203, 690
21, 203, 908
16.5, 203, 1346
12, 204, 136
137.5, 204, 204
22, 204, 1752
14.5, 205, 4
12.5, 205, 92
5.5, 205, 1188
16, 205, 1648
134.5, 206, 206
25, 206, 1782
7, 207, 294
20, 207, 768
12.5, 207, 1078
19, 207, 1614
10.5, 207, 1776
17.5, 207, 1804
263, 208, 208
11, 208, 908
24, 208, 1206
13, 208, 1632
17.5, 209, 112
203, 210, 210
16, 210, 492
21, 210, 678
20.5, 210, 1258
6, 210, 1516
189, 212, 212
18, 212, 630
5.5, 212, 998
3.5, 212, 1916
6.5, 213, 474
6.5, 213, 1450
13.5, 213, 1484
15.5, 213, 1754
3.5, 213, 1842
139, 214, 214
1.5, 215, 280
4.5, 215, 304
21.5, 215, 1304
10, 215, 1392
25, 215, 1448
18, 215, 1482
207, 216, 216
25.5, 216, 1060
7.5, 216, 1606
10.5, 216, 1660
20, 216, 1698
2, 217, 770
3.5, 217, 1340
10, 217, 1468
19, 217, 1884
170, 218, 218
12, 218, 476
24, 218, 726
2, 218, 898
1, 219, 900
9.5, 219, 1646
3.5, 220, 4
255.5, 220, 220
8.5, 220, 822
21, 220, 1256
2.5, 220, 1434
