2025
-162.5, 0, 0
14, 0, 154
15, 0, 456
1, 1, 182
22.5, 1, 636
193.5, 2, 2
4, 2, 1298
20, 3, 1204
12, 3, 1388
142.5, 4, 4
3.5, 4, 842
6.5, 4, 1238
14, 5, 216
24, 5, 636
25.5, 5, 730
14, 5, 856
15.5, 5, 862
10, 5, 1318
209, 6, 6
2.5, 6, 124
5.5, 6, 1016
25.5, 6, 1400
2, 7, 192
16, 7, 324
23.5, 7, 1688
21, 7, 1776
251, 8, 8
20, 8, 566
23, 8, 832
3, 8, 978
19.5, 8, 1466
5.5, 8, 1510
12.5, 8, 1602
3.5, 8, 1714
16, 8, 1810
19.5, 9, 226
4, 9, 270
14, 9, 570
25, 9, 1080
2.5, 9, 1176
3, 9, 1434
31.5, 9, 1518
14, 9, 1688
253.5, 10, 10
19, 10, 484
25.5, 10, 1182
14.5, 10, 1194
5, 10, 1220
12.5, 10, 1452
19, 10, 1520
23.5, 10, 1668
19.5, 10, 1694
4, 11, 148
8, 11, 206
158.5, 12, 12
12, 12, 588
1, 12, 1344
1.5, 12, 1636
11, 12, 1902
9.5, 13, 166
117.5, 14, 14
1, 14, 1112
24, 15, 224
10, 15, 1006
4, 15, 1766
168.5, 16, 16
20.5, 16, 798
23, 16, 1520
24.5, 16, 1556
14.5, 17, 228
19.5, 17, 656
21.5, 17, 1174
215.5, 18, 18
5, 18, 528
15, 18, 706
2, 18, 834
23, 18, 1290
10.5, 18, 1630
21.5, 19, 116
4.5, 19, 922
5, 19, 1402
245.5, 20, 20
20, 20, 438
21.5, 20, 1006
11, 20, 1062
18.5, 20, 1100
19.5, 20, 1624
19, 20, 1628
25.5, 21, 970
124.5, 22, 22
24, 22, 1276
15, 23, 1920
108, 24, 24
10.5, 25, 110
24.5, 25, 838
17, 25, 1894
280.5, 26, 26
19, 26, 282
21, 26, 352
7.5, 26, 834
4.5, 27, 262
15, 27, 652
11.5, 27, 734
22, 27, 872
15.5, 27, 1042
17, 27, 1186
13.5, 27, 1430
198.5, 28, 28
4.5, 28, 192
6, 28, 216
4, 28, 530
2, 28, 726
3.5, 28, 1832
25.5, 28, 1872
6, 28, 1906
14.5, 28, 1988
11.5, 29, 1334
234, 30, 30
24, 30, 56
2.5, 30, 302
6.5, 30, 452
3, 30, 1244
11, 30, 1726
23, 30, 1946
23.5, 30, 2022
214.5, 32, 32
7, 32, 526
4.5, 32, 746
13, 32, 1954
4.5, 33, 648
4.5, 33, 700
20, 33, 1060
6, 33, 1698
3, 33, 1704
168.5, 34, 34
18, 34, 140
8, 34, 1128
13.5, 35, 1276
22, 35, 1482
15, 35, 1914
219.5, 36, 36
13.5, 36, 988
3.5, 36, 1842
15.5, 37, 90
21, 37, 248
10, 37, 278
23, 37, 974
25.5, 37, 1238
24, 37, 1442
2.5, 37, 1490
187.5, 38, 38
2, 38, 172
10, 38, 340
9, 38, 638
2.5, 38, 1204
24.5, 38, 1812
12.5, 38, 1818
278, 40, 40
20.5, 40, 646
7.5, 40, 674
24, 40, 1086
22, 40, 1262
20, 40, 1698
22, 40, 1774
3.5, 40, 1944
22, 41, 256
14, 41, 942
7.5, 41, 1592
222.5, 42, 42
12.5, 42, 98
6, 42, 124
3, 42, 316
13, 42, 348
25, 42, 630
6, 42, 770
7.5, 42, 900
4.5, 42, 1610
9.5, 42, 1850
19, 43, 1138
7.5, 43, 1198
19.5, 43, 1702
23.5, 43, 1914
165, 44, 44
18, 44, 1760
11.5, 45, 252
18, 45, 332
10, 45, 824
3, 45, 928
22, 45, 1678
7.5, 45, 1984
156, 46, 46
5, 46, 168
22, 46, 340
10, 46, 1170
1, 46, 1550
10, 47, 326
19, 47, 508
19.5, 47, 612
8.5, 47, 1084
12, 47, 1802
18.5, 47, 1876
258, 48, 48
14, 48, 642
23.5, 48, 726
2.5, 48, 1320
13, 48, 1790
10.5, 48, 1820
17.5, 49, 280
14.5, 49, 1682
15.5, 49, 1876
268.5, 50, 50
1.5, 50, 806
11, 50, 1396
17, 50, 1452
20.5, 50, 1922
22.5, 50, 1988
10.5, 51, 354
23.5, 51, 852
2.5, 51, 1416
149, 52, 52
15.5, 52, 480
1.5, 52, 608
4.5, 52, 1866
4, 53, 278
15.5, 53, 806
25.5, 53, 1150
23.5, 53, 1612
20, 53, 1772
159.5, 54, 54
23, 54, 1894
18, 55, 280
19.5, 55, 660
3, 55, 664
19.5, 55, 1288
113.5, 56, 56
18, 57, 314
24, 57, 906
15.5, 57, 998
136, 58, 58
10, 58, 248
9.5, 58, 612
9, 58, 918
7, 58, 954
12, 59, 1578
264, 60, 60
15.5, 60, 208
16.5, 60, 918
25, 60, 958
10.5, 60, 1354
19, 60, 1506
1.5, 61, 258
21.5, 61, 744
19, 61, 784
5.5, 61, 1970
12, 61, 2002
211.5, 62, 62
18.5, 62, 580
8.5, 62, 702
16.5, 62, 1294
19, 62, 1318
25, 62, 1610
232, 64, 64
3.5, 64, 642
2, 64, 1134
13.5, 64, 1772
25, 64, 1936
20.5, 65, 390
24, 65, 690
3.5, 65, 710
9, 65, 712
20, 65, 718
8.5, 65, 1352
118, 66, 66
17.5, 66, 1160
3, 67, 406
3, 67, 568
1, 67, 1360
11, 67, 1762
156.5, 68, 68
24.5, 68, 490
18.5, 68, 704
5.5, 68, 1888
17, 69, 1032
17.5, 69, 1166
14.5, 69, 1434
6, 69, 1980
169, 70, 70
3.5, 70, 794
6, 70, 1864
12.5, 71, 556
137, 72, 72
24.5, 73, 252
7, 73, 494
15, 73, 590
6, 73, 666
24.5, 73, 820
14.5, 73, 940
12.5, 73, 1254
8.5, 73, 1796
214.5, 74, 74
7.5, 74, 208
21.5, 74, 218
2, 74, 712
11.5, 74, 808
16.5, 74, 1420
14, 75, 1156
182, 76, 76
12.5, 76, 1312
13.5, 76, 1584
20, 77, 94
3, 77, 228
2, 77, 1394
8.5, 77, 1814
118, 78, 78
8, 79, 752
12, 79, 950
24.5, 79, 1002
5, 79, 1380
9.5, 79, 1436
10.5, 79, 1568
20.5, 79, 1982
170.5, 80, 80
12.5, 80, 758
12, 80, 1592
13, 80, 1896
13, 81, 42
20.5, 81, 224
14.5, 81, 528
2.5, 81, 774
2, 82, 4
214.5, 82, 82
17.5, 82, 230
5, 82, 910
20.5, 82, 1394
9.5, 83, 1284
23.5, 83, 1884
228.5, 84, 84
21, 84, 232
22.5, 84, 330
7, 84, 444
6, 84, 696
17.5, 84, 1012
4.5, 84, 1744
17.5, 85, 586
22.5, 85, 690
5.5, 85, 758
10, 85, 816
15, 85, 1070
16, 85, 1290
160.5, 86, 86
13, 86, 406
1, 86, 554
5.5, 86, 704
3.5, 86, 1210
13.5, 86, 1476
116, 88, 88
21, 89, 1074
25.5, 89, 1870
245, 90, 90
4, 90, 118
6, 90, 250
12, 90, 574
5, 90, 758
3, 90, 990
22, 90, 1078
16.5, 90, 1094
20, 90, 1104
21.5, 90, 1586
15, 90, 1902
